shipment_id,timestamp,scan_type,status,delay_duration,route_id,warehouse_id,source_file,source_row_id,delay_id,delay_reason,delay_duration_showcase-delay-reports,initial_delay_duration,reported_at,route_id_showcase-delay-reports,warehouse_id_showcase-delay-reports,source_file_showcase-delay-reports,source_row_id_showcase-delay-reports,_delay_match,transfer_id,source_warehouse,destination_warehouse,transfer_time,expected_transfer_time,actual_transfer_time,transfer_status,source_file_showcase-warehouse-transfers,source_row_id_showcase-warehouse-transfers,_transfer_match,_record_source,_source_datasets,_integration_key
S00004,2024-03-04 08:50:00+00:00,pickup,on_time,0.0,R1,W1,synthetic_showcase,10,,,,,,,,,,left-only,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00004
S00004,2024-03-04 15:50:00+00:00,delivery,delivered,0.0,R1,,synthetic_showcase,11,,,,,,,,,,left-only,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00004
S00005,2024-03-05 09:53:00+00:00,pickup,delayed,19.5,R6,W5,synthetic_showcase,12,DL-S00005,congestion,34.8,19.5,2024-03-06 16:53:00+00:00,R6,W2,synthetic_showcase,2.0,both,T-S00005,W5,W2,2024-03-05 16:53:00+00:00,2024-03-05 15:53:00+00:00,2024-03-05 16:53:00+00:00,delayed,synthetic_showcase,2.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00005
S00005,2024-03-05 16:53:00+00:00,hub_arrival,delayed,34.8,R6,W2,synthetic_showcase,13,DL-S00005,congestion,34.8,19.5,2024-03-06 16:53:00+00:00,R6,W2,synthetic_showcase,2.0,both,T-S00005,W5,W2,2024-03-05 16:53:00+00:00,2024-03-05 15:53:00+00:00,2024-03-05 16:53:00+00:00,delayed,synthetic_showcase,2.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00005
S00005,2024-03-05 20:53:00+00:00,hub_departure,delayed,20.1,R6,W2,synthetic_showcase,14,DL-S00005,congestion,34.8,19.5,2024-03-06 16:53:00+00:00,R6,W2,synthetic_showcase,2.0,both,T-S00005,W5,W2,2024-03-05 16:53:00+00:00,2024-03-05 15:53:00+00:00,2024-03-05 16:53:00+00:00,delayed,synthetic_showcase,2.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00005
S00005,2024-03-06 14:53:00+00:00,delivery,delivered,0.0,R6,,synthetic_showcase,15,DL-S00005,congestion,34.8,19.5,2024-03-06 16:53:00+00:00,R6,W2,synthetic_showcase,2.0,both,T-S00005,W5,W2,2024-03-05 16:53:00+00:00,2024-03-05 15:53:00+00:00,2024-03-05 16:53:00+00:00,delayed,synthetic_showcase,2.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00005
S00006,2024-03-06 08:03:00+00:00,pickup,on_time,0.0,R2,W2,synthetic_showcase,16,,,,,,,,,,left-only,T-S00006,W2,W4,2024-03-06 15:03:00+00:00,2024-03-06 14:03:00+00:00,2024-03-06 15:03:00+00:00,on_time,synthetic_showcase,3.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00006
S00006,2024-03-06 15:03:00+00:00,hub_arrival,on_time,0.0,R2,W4,synthetic_showcase,17,,,,,,,,,,left-only,T-S00006,W2,W4,2024-03-06 15:03:00+00:00,2024-03-06 14:03:00+00:00,2024-03-06 15:03:00+00:00,on_time,synthetic_showcase,3.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00006
S00006,2024-03-06 17:03:00+00:00,hub_departure,on_time,0.0,R2,W4,synthetic_showcase,18,,,,,,,,,,left-only,T-S00006,W2,W4,2024-03-06 15:03:00+00:00,2024-03-06 14:03:00+00:00,2024-03-06 15:03:00+00:00,on_time,synthetic_showcase,3.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00006
S00006,2024-03-07 06:03:00+00:00,delivery,delivered,0.0,R2,,synthetic_showcase,19,,,,,,,,,,left-only,T-S00006,W2,W4,2024-03-06 15:03:00+00:00,2024-03-06 14:03:00+00:00,2024-03-06 15:03:00+00:00,on_time,synthetic_showcase,3.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00006
S00007,2024-03-07 09:24:00+00:00,pickup,on_time,0.0,R6,W5,synthetic_showcase,20,,,,,,,,,,left-only,T-S00007,W5,W2,2024-03-07 14:24:00+00:00,2024-03-07 13:24:00+00:00,2024-03-07 14:24:00+00:00,on_time,synthetic_showcase,4.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00007
S00007,2024-03-07 14:24:00+00:00,hub_arrival,on_time,0.0,R6,W2,synthetic_showcase,21,,,,,,,,,,left-only,T-S00007,W5,W2,2024-03-07 14:24:00+00:00,2024-03-07 13:24:00+00:00,2024-03-07 14:24:00+00:00,on_time,synthetic_showcase,4.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00007
S00007,2024-03-07 18:24:00+00:00,hub_departure,on_time,0.0,R6,W2,synthetic_showcase,22,,,,,,,,,,left-only,T-S00007,W5,W2,2024-03-07 14:24:00+00:00,2024-03-07 13:24:00+00:00,2024-03-07 14:24:00+00:00,on_time,synthetic_showcase,4.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00007
S00007,2024-03-08 08:24:00+00:00,delivery,delivered,0.0,R6,,synthetic_showcase,23,,,,,,,,,,left-only,T-S00007,W5,W2,2024-03-07 14:24:00+00:00,2024-03-07 13:24:00+00:00,2024-03-07 14:24:00+00:00,on_time,synthetic_showcase,4.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00007
S00008,2024-03-08 08:08:00+00:00,pickup,on_time,0.0,R1,W1,synthetic_showcase,24,DL-S00008,traffic,83.8,0.0,2024-03-09 15:08:00+00:00,R1,W1,synthetic_showcase,3.0,both,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00008
S00008,2024-03-08 21:08:00+00:00,delivery_attempt,delayed,83.8,R1,,synthetic_showcase,25,DL-S00008,traffic,83.8,0.0,2024-03-09 15:08:00+00:00,R1,W1,synthetic_showcase,3.0,both,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00008
S00008,2024-03-09 13:08:00+00:00,delivery,delivered,0.0,R1,,synthetic_showcase,26,DL-S00008,traffic,83.8,0.0,2024-03-09 15:08:00+00:00,R1,W1,synthetic_showcase,3.0,both,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00008
S00009,2024-03-09 08:40:00+00:00,pickup,on_time,0.0,R2,W2,synthetic_showcase,27,,,,,,,,,,left-only,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00009
S00009,2024-03-10 01:40:00+00:00,delivery,delivered,0.0,R2,,synthetic_showcase,28,,,,,,,,,,left-only,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00009
S00010,2024-03-10 08:22:00+00:00,pickup,on_time,0.0,R1,W1,synthetic_showcase,29,,,,,,,,,,left-only,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00010
S00010,2024-03-11 01:22:00+00:00,delivery,delivered,0.0,R1,,synthetic_showcase,30,,,,,,,,,,left-only,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00010
S00011,2024-03-11 09:04:00+00:00,pickup,on_time,0.0,R6,W5,synthetic_showcase,31,DL-S00011,traffic,72.0,0.0,2024-03-12 06:04:00+00:00,R6,W3,synthetic_showcase,4.0,both,T-S00011,W5,W3,2024-03-11 13:04:00+00:00,2024-03-11 12:04:00+00:00,2024-03-11 13:04:00+00:00,on_time,synthetic_showcase,5.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00011
S00011,2024-03-11 13:04:00+00:00,hub_arrival,on_time,0.0,R6,W3,synthetic_showcase,32,DL-S00011,traffic,72.0,0.0,2024-03-12 06:04:00+00:00,R6,W3,synthetic_showcase,4.0,both,T-S00011,W5,W3,2024-03-11 13:04:00+00:00,2024-03-11 12:04:00+00:00,2024-03-11 13:04:00+00:00,on_time,synthetic_showcase,5.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00011
S00011,2024-03-11 16:04:00+00:00,hub_departure,on_time,0.0,R6,W3,synthetic_showcase,33,DL-S00011,traffic,72.0,0.0,2024-03-12 06:04:00+00:00,R6,W3,synthetic_showcase,4.0,both,T-S00011,W5,W3,2024-03-11 13:04:00+00:00,2024-03-11 12:04:00+00:00,2024-03-11 13:04:00+00:00,on_time,synthetic_showcase,5.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00011
S00011,2024-03-12 04:04:00+00:00,delivery,delivered,72.0,R6,,synthetic_showcase,34,DL-S00011,traffic,72.0,0.0,2024-03-12 06:04:00+00:00,R6,W3,synthetic_showcase,4.0,both,T-S00011,W5,W3,2024-03-11 13:04:00+00:00,2024-03-11 12:04:00+00:00,2024-03-11 13:04:00+00:00,on_time,synthetic_showcase,5.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00011
S00012,2024-03-12 09:35:00+00:00,pickup,delayed,24.3,R2,W2,synthetic_showcase,35,DL-S00012,weather,24.3,24.3,2024-03-12 20:35:00+00:00,R2,W2,synthetic_showcase,5.0,both,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00012
S00012,2024-03-12 18:35:00+00:00,delivery,delivered,0.0,R2,,synthetic_showcase,36,DL-S00012,weather,24.3,24.3,2024-03-12 20:35:00+00:00,R2,W2,synthetic_showcase,5.0,both,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00012
S00013,2024-03-13 08:35:00+00:00,pickup,on_time,0.0,R5,W4,synthetic_showcase,37,,,,,,,,,,left-only,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00013
S00013,2024-03-13 16:35:00+00:00,delivery,delivered,0.0,R5,,synthetic_showcase,38,,,,,,,,,,left-only,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00013
S00014,2024-03-14 08:44:00+00:00,pickup,on_time,0.0,R6,W5,synthetic_showcase,39,,,,,,,,,,left-only,T-S00014,W5,W1,2024-03-14 15:44:00+00:00,2024-03-14 14:44:00+00:00,2024-03-14 15:44:00+00:00,on_time,synthetic_showcase,6.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00014
S00014,2024-03-14 15:44:00+00:00,hub_arrival,on_time,0.0,R6,W1,synthetic_showcase,40,,,,,,,,,,left-only,T-S00014,W5,W1,2024-03-14 15:44:00+00:00,2024-03-14 14:44:00+00:00,2024-03-14 15:44:00+00:00,on_time,synthetic_showcase,6.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00014
S00014,2024-03-14 19:44:00+00:00,hub_departure,on_time,0.0,R6,W1,synthetic_showcase,41,,,,,,,,,,left-only,T-S00014,W5,W1,2024-03-14 15:44:00+00:00,2024-03-14 14:44:00+00:00,2024-03-14 15:44:00+00:00,on_time,synthetic_showcase,6.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00014
S00014,2024-03-15 11:44:00+00:00,delivery,delivered,0.0,R6,,synthetic_showcase,42,,,,,,,,,,left-only,T-S00014,W5,W1,2024-03-14 15:44:00+00:00,2024-03-14 14:44:00+00:00,2024-03-14 15:44:00+00:00,on_time,synthetic_showcase,6.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00014
S00015,2024-03-15 09:01:00+00:00,pickup,on_time,0.0,R2,W2,synthetic_showcase,43,,,,,,,,,,left-only,T-S00015,W2,W1,2024-03-15 13:01:00+00:00,2024-03-15 12:01:00+00:00,2024-03-15 13:01:00+00:00,on_time,synthetic_showcase,7.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00015
S00015,2024-03-15 13:01:00+00:00,hub_arrival,on_time,0.0,R2,W1,synthetic_showcase,44,,,,,,,,,,left-only,T-S00015,W2,W1,2024-03-15 13:01:00+00:00,2024-03-15 12:01:00+00:00,2024-03-15 13:01:00+00:00,on_time,synthetic_showcase,7.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00015
S00015,2024-03-15 14:01:00+00:00,hub_departure,on_time,0.0,R2,W1,synthetic_showcase,45,,,,,,,,,,left-only,T-S00015,W2,W1,2024-03-15 13:01:00+00:00,2024-03-15 12:01:00+00:00,2024-03-15 13:01:00+00:00,on_time,synthetic_showcase,7.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00015
S00015,2024-03-16 01:01:00+00:00,delivery,delivered,0.0,R2,,synthetic_showcase,46,,,,,,,,,,left-only,T-S00015,W2,W1,2024-03-15 13:01:00+00:00,2024-03-15 12:01:00+00:00,2024-03-15 13:01:00+00:00,on_time,synthetic_showcase,7.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00015
S00016,2024-03-16 08:50:00+00:00,pickup,on_time,0.0,R2,W2,synthetic_showcase,47,DL-S00016,traffic,24.6,0.0,2024-03-17 05:50:00+00:00,R2,W5,synthetic_showcase,6.0,both,T-S00016,W2,W5,2024-03-16 17:50:00+00:00,2024-03-16 16:50:00+00:00,2024-03-16 17:50:00+00:00,on_time,synthetic_showcase,8.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00016
S00016,2024-03-16 17:50:00+00:00,hub_arrival,on_time,0.0,R2,W5,synthetic_showcase,48,DL-S00016,traffic,24.6,0.0,2024-03-17 05:50:00+00:00,R2,W5,synthetic_showcase,6.0,both,T-S00016,W2,W5,2024-03-16 17:50:00+00:00,2024-03-16 16:50:00+00:00,2024-03-16 17:50:00+00:00,on_time,synthetic_showcase,8.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00016
S00016,2024-03-16 21:50:00+00:00,hub_departure,on_time,0.0,R2,W5,synthetic_showcase,49,DL-S00016,traffic,24.6,0.0,2024-03-17 05:50:00+00:00,R2,W5,synthetic_showcase,6.0,both,T-S00016,W2,W5,2024-03-16 17:50:00+00:00,2024-03-16 16:50:00+00:00,2024-03-16 17:50:00+00:00,on_time,synthetic_showcase,8.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00016
S00016,2024-03-17 03:50:00+00:00,delivery,delivered,24.6,R2,,synthetic_showcase,50,DL-S00016,traffic,24.6,0.0,2024-03-17 05:50:00+00:00,R2,W5,synthetic_showcase,6.0,both,T-S00016,W2,W5,2024-03-16 17:50:00+00:00,2024-03-16 16:50:00+00:00,2024-03-16 17:50:00+00:00,on_time,synthetic_showcase,8.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00016
S00017,2024-03-17 09:40:00+00:00,pickup,on_time,0.0,R4,W1,synthetic_showcase,51,DL-S00017,congestion,67.1,0.0,2024-03-18 00:40:00+00:00,R4,W2,synthetic_showcase,7.0,both,T-S00017,W1,W2,2024-03-17 14:40:00+00:00,2024-03-17 13:40:00+00:00,2024-03-17 14:40:00+00:00,on_time,synthetic_showcase,9.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00017
S00017,2024-03-17 14:40:00+00:00,hub_arrival,on_time,0.0,R4,W2,synthetic_showcase,52,DL-S00017,congestion,67.1,0.0,2024-03-18 00:40:00+00:00,R4,W2,synthetic_showcase,7.0,both,T-S00017,W1,W2,2024-03-17 14:40:00+00:00,2024-03-17 13:40:00+00:00,2024-03-17 14:40:00+00:00,on_time,synthetic_showcase,9.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00017
S00017,2024-03-17 16:40:00+00:00,hub_departure,delayed,67.1,R4,W2,synthetic_showcase,53,DL-S00017,congestion,67.1,0.0,2024-03-18 00:40:00+00:00,R4,W2,synthetic_showcase,7.0,both,T-S00017,W1,W2,2024-03-17 14:40:00+00:00,2024-03-17 13:40:00+00:00,2024-03-17 14:40:00+00:00,on_time,synthetic_showcase,9.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00017
S00017,2024-03-17 22:40:00+00:00,delivery,delivered,0.0,R4,,synthetic_showcase,54,DL-S00017,congestion,67.1,0.0,2024-03-18 00:40:00+00:00,R4,W2,synthetic_showcase,7.0,both,T-S00017,W1,W2,2024-03-17 14:40:00+00:00,2024-03-17 13:40:00+00:00,2024-03-17 14:40:00+00:00,on_time,synthetic_showcase,9.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00017
S00018,2024-03-18 09:58:00+00:00,pickup,on_time,0.0,R3,W3,synthetic_showcase,55,,,,,,,,,,left-only,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00018
S00018,2024-03-19 01:58:00+00:00,delivery,delivered,0.0,R3,,synthetic_showcase,56,,,,,,,,,,left-only,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00018
S00019,2024-03-19 09:08:00+00:00,pickup,on_time,0.0,R5,W4,synthetic_showcase,57,,,,,,,,,,left-only,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00019
S00019,2024-03-20 01:08:00+00:00,delivery,delivered,0.0,R5,,synthetic_showcase,58,,,,,,,,,,left-only,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00019
S00020,2024-03-20 09:12:00+00:00,pickup,on_time,0.0,R5,W4,synthetic_showcase,59,DL-S00020,traffic,61.8,0.0,2024-03-21 11:12:00+00:00,R5,W2,synthetic_showcase,8.0,both,T-S00020,W4,W2,2024-03-20 15:12:00+00:00,2024-03-20 14:12:00+00:00,2024-03-20 15:12:00+00:00,on_time,synthetic_showcase,10.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00020
S00020,2024-03-20 15:12:00+00:00,hub_arrival,on_time,0.0,R5,W2,synthetic_showcase,60,DL-S00020,traffic,61.8,0.0,2024-03-21 11:12:00+00:00,R5,W2,synthetic_showcase,8.0,both,T-S00020,W4,W2,2024-03-20 15:12:00+00:00,2024-03-20 14:12:00+00:00,2024-03-20 15:12:00+00:00,on_time,synthetic_showcase,10.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00020
S00020,2024-03-20 18:12:00+00:00,hub_departure,delayed,22.8,R5,W2,synthetic_showcase,61,DL-S00020,traffic,61.8,0.0,2024-03-21 11:12:00+00:00,R5,W2,synthetic_showcase,8.0,both,T-S00020,W4,W2,2024-03-20 15:12:00+00:00,2024-03-20 14:12:00+00:00,2024-03-20 15:12:00+00:00,on_time,synthetic_showcase,10.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00020
